date,code,pred,true
2024-01-02,SZ300551,0.14155109,-0.010459115
2024-01-03,SH600630,0.09739654,-0.09234732
2024-01-04,SH600630,0.106970236,0.015403324
2024-01-05,SH600630,0.0996673,0.14850299
2024-01-08,SZ000692,0.094054915,-0.011627907
2024-01-09,SH600630,0.07699118,0.005524862
2024-01-10,SH600630,0.08960421,-0.13255495
2024-01-11,SH600198,0.13434607,-0.017482517
2024-01-12,SH600630,0.107622854,0.16648127
2024-01-15,SH600198,0.10357419,-0.08992806
2024-01-16,SH600630,0.08120765,0.027195469
2024-01-17,SH600198,0.10481643,-0.032520324
2024-01-18,SH600198,0.09224197,-0.23529412
2024-01-19,SH600630,0.06398851,0.07213741
2024-01-22,SH600198,0.18538436,0.08585858
2024-01-23,SH600630,0.08866065,-0.047783718
2024-01-24,SH600198,0.27920887,0.07279693
2024-01-25,SH600630,0.1090005,0.07374541
2024-01-26,SH600630,0.110841855,-0.20689656
2024-01-29,SH600630,0.16588712,-0.05605462
2024-01-30,SH600630,0.19340624,0.101256184
2024-01-31,SH600198,0.23933388,-0.030534351
2024-02-01,SH600198,0.1999078,-0.48818898
2024-02-02,SH600198,0.22480787,-0.26153848
2024-02-05,SH600076,0.19440638,-0.1865285
2024-02-06,SH600076,0.23503886,0.24840765
2024-02-07,SH600198,0.37822753,0.13953489
2024-02-08,SH600198,1.045439,-0.07482993
2024-02-19,SH600198,0.780535,0.11029412
2024-02-20,SH600198,0.6607054,0.205298
2024-02-21,SH600198,0.54133576,0.2747253
2024-02-22,SH600198,0.24120605,-0.06465517
2024-02-23,SH600198,0.5505155,0.22119816
2024-02-26,SH600198,0.6599465,-0.3207547
2024-02-27,SH600198,0.3165948,0.33333334
2024-02-28,SH600198,0.38920528,0.054166667
2024-02-29,SH600198,0.5316325,-0.03952569
2024-03-01,SH600198,0.4822843,-0.053497944
2024-03-04,SH600198,0.4547033,0.030434782
2024-03-05,SH600198,0.38583323,-0.10548523
2024-03-06,SH600198,0.38599843,0.108490564
2024-03-07,SH600198,0.29591212,0.10638298
2024-03-08,SH600198,0.38852564,1.5227075e-12
2024-03-11,SH600198,0.65490854,0.011538462
2024-03-12,SH600198,0.42966104,-0.06844106
2024-03-13,SH600198,0.48278874,0.08571429
2024-03-14,SH600198,0.48794785,0.04511278
2024-03-15,SZ000889,0.23815036,-0.071698114
2024-03-18,SZ000889,0.25114515,0.09756097
2024-03-19,SZ000889,0.3563341,-0.08888889
2024-03-20,SZ000889,0.4532469,-0.08130081
2024-03-21,SZ000889,0.44103712,-0.044247787
2024-03-22,SZ000889,0.42006573,1.5227075e-12
2024-03-25,SH600198,0.25117806,0.23243243
2024-03-26,SZ000889,0.28468853,0.023148147
2024-03-27,SH600198,0.2741589,-0.15113351
2024-03-28,SZ000889,0.40891993,0.059322033
2024-03-29,SZ000889,0.22450358,-0.036
2024-04-01,SZ000889,0.28477335,0.14107884
2024-04-02,SZ000889,0.17433295,-0.07272727
2024-04-03,SH600076,0.1926137,0.08562691
2024-04-08,SZ000889,0.25057313,-0.12592593
2024-04-09,SZ000889,0.27828154,-0.021186441
2024-04-10,SZ000889,0.2541506,-0.27705628
2024-04-11,SZ000793,0.28305727,-0.11285266
2024-04-12,SZ000889,0.23910116,-0.265625
2024-04-15,SZ000889,0.32024902,0.05319149
2024-04-16,SH600198,0.24256498,-0.018518519
2024-04-17,SH600198,0.31894806,-0.12578617
2024-04-18,SH600198,0.441684,0.1438849
2024-04-19,SH600198,0.25956288,1.5227075e-12
2024-04-22,SH600198,0.2696025,0.11320755
2024-04-23,SH600198,0.25971857,0.20338982
2024-04-24,SZ000889,0.39928555,-0.75
2024-04-25,SZ000889,0.53879064,6.9
2024-04-26,SZ000889,0.5686539,0.43037975
2024-04-29,SH600076,0.22918072,0.06666667
2024-04-30,SZ000793,0.18927236,0.03180212
2024-05-06,SH600198,0.32096744,-0.08189655
2024-05-07,SH600198,0.3623677,1.5227075e-12
2024-05-08,SZ000889,0.66049,0.022624435
2024-05-09,SZ000889,0.5741696,-0.06637168
2024-05-10,SZ000889,0.39184377,0.27962086
2024-05-13,SZ000889,0.39534345,0.14444445
2024-05-14,SZ000889,0.6210799,-0.14239483
2024-05-15,SZ000889,0.4234836,0.14716981
2024-05-16,SZ000889,0.6296088,0.049342107
2024-05-17,SZ000889,0.5163431,0.106583074
2024-05-20,SZ000889,0.29182103,0.11048159
2024-05-21,SH600198,0.13606636,-0.11627907
2024-05-22,SZ000889,0.3932002,0.14285715
2024-05-23,SZ000889,0.31618923,0.032407407
2024-05-24,SZ000889,0.42127785,0.10986547
2024-05-27,SZ000889,0.4476638,0.030303031
2024-05-28,SZ000889,0.46097958,-0.07647059
2024-05-29,SZ000889,0.46285224,1.5227075e-12
2024-05-30,SZ000889,0.30356395,-0.12526539
2024-05-31,SZ000692,0.23616576,0.3714609
2024-06-03,SH600198,0.24661723,0.10084034
2024-06-04,SH600198,0.21643956,-0.20610687
2024-06-05,SH600198,0.3727019,0.03846154
2024-06-06,SZ000889,0.43764228,0.027173912
2024-06-07,SZ000889,0.5120268,0.013227513
2024-06-11,SH600198,0.38865587,0.03937008
2024-06-12,SZ000889,0.44174442,0.054347824
2024-06-13,SH600198,0.44014785,-0.022727273
2024-06-14,SZ000889,0.3900439,-0.03916449
2024-06-17,SZ000889,0.47111553,-0.2527174
2024-06-18,SZ000889,0.58022827,-0.036363635
2024-06-19,SZ000889,0.8197154,-0.109433964
2024-06-20,SZ000793,0.471823,-0.11838791
2024-06-21,SZ000889,0.4271723,-0.028248588
2024-06-24,SZ000889,0.63777775,-0.25581396
2024-06-25,SZ000889,0.3365359,0.0390625
2024-06-26,SZ000889,0.34442604,0.11278196
2024-06-27,SZ000793,0.24166551,-0.01972686
2024-06-28,SH600076,0.7743948,0.36
2024-07-01,SZ000889,0.29001242,0.14925373
2024-07-02,SZ000889,0.32200184,-0.043290045
2024-07-03,SZ000889,0.3848371,0.11312217
2024-07-04,SH600868,0.50432074,-0.07640751
2024-07-05,SH600868,0.49895856,1.5227075e-12
2024-07-08,SH600198,0.36601582,0.1744186
2024-07-09,SZ000793,0.47689584,0.09557522
2024-07-10,SZ000793,0.5314478,0.04361874
2024-07-11,SH600198,0.5113073,-0.11702128
2024-07-12,SH600076,0.6588784,-0.068965524
2024-07-15,SH600076,0.64959973,-0.2962963
2024-07-16,SH600076,0.7108374,1.5227075e-12
2024-07-17,SZ000793,0.58252144,0.030701755
2024-07-18,SZ000793,0.6084511,0.40212765
2024-07-19,SH600076,0.5940127,0.3157895
2024-07-22,SZ000793,0.46631926,-0.09557523
2024-07-23,SH600198,0.59757864,-0.15384616
2024-07-24,SZ000793,0.66942346,1.5227075e-12
2024-07-25,SH600076,0.73886776,0.08695652
2024-07-26,SH600076,0.8156398,1.04
2024-07-29,SH600076,0.69069016,-0.039215688
2024-07-30,SH600076,0.7206062,1.5227075e-12
2024-07-31,SH600076,0.96183336,-0.040816326
2024-08-01,SH600076,0.87945324,0.08510638
2024-08-02,SH600076,0.86825484,-0.039215688
2024-08-05,SZ000040,1.0746638,0.26415095
2024-08-06,SH600076,0.84545684,0.044444446
2024-08-07,SH600076,0.9124461,-0.12765957
2024-08-08,SH600076,0.805372,-0.19512194
2024-08-09,SH600076,0.8599427,0.121212125
2024-08-12,SH600076,0.84964067,-0.10810811
2024-08-13,SH600076,0.805765,0.060606062
2024-08-14,SH600076,0.41953948,-0.17142858
2024-08-15,SH600076,0.8994621,-0.068965524
2024-08-16,SZ000040,0.86658585,0.54545456
2024-08-19,SH600076,0.82089806,1.5227075e-12
2024-08-20,SH600076,0.6942634,-0.1904762
2024-08-21,SH600076,0.7867711,1.5227075e-12
2024-08-22,SH600076,0.81588984,0.47058824
2024-08-23,SH600076,0.89782447,-0.32
2024-08-26,SH600198,0.40060768,0.27027026
2024-08-27,SH600198,0.57269835,0.20212767
2024-08-28,SH600198,0.59109837,0.14159292
